Date,Tijd,Dag,Close Date,Close Time,Close Day,Code,Asset,Status,Order,Timeframe,Session,Trend,Setup,Stoploss,News,Drawdown,Mindset,Mistakes,Potential R,Na BE,Result,Risk,Reward,Return (%),Linkjes,,Notes
7/10,9:45,Tue,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,l,B,1%,"0,00","0,00",,,
8/10,9:15,Wed,,,,1025,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,W,B,1%,"0,00","0,00",,,
9/10,6:15,Thu,,,,1025,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
9/10,8:15,Thu,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
10/10,13:45,Fri,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
13/10,9:15,Mon,,,,1025,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,W,B,1%,"0,00","0,00",,,
13/10,13:00,Mon,,,,1025,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
14/10,9:30,Tue,,,,1025,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
15/10,8:45,Wed,,,,1025,XAUUSD,Backtest,Buy,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
16/10,7:15,Thu,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
17/10,9:15,Fri,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
21/10,7:15,Tue,,,,1025,XAUUSD,Backtest,Sell,15min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
22/10,8:30,Wed,,,,1025,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,l,B,1%,"0,00","0,00",,,
27/10,8:30,Mon,,,,1025,XAUUSD,Backtest,Sell,30min,London,,Continuation,Conservatief,,,,,,,W,1%,"1,20","1,20",,,
4/11,9:30,Tue,,,,1125,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
6/11,6:00,Thu,,,,1125,XAUUSD,Backtest,Buy,30min,London,,Continuation,Conservatief,,,,,,,L,1%,"-1,00","-1,00",,,
